Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-02,852.3853577544984,898.3067596730784,851.3892313718937,885.3571166992188,3980406,0.0,0.0
2024-01-03,892.5292106133601,899.9005699312204,879.5795680486573,894.421875,1793431,0.0,0.0
2024-01-04,894.5713021905943,910.0112614049257,887.3991799441911,894.9199829101562,712492,0.0,0.0
2024-01-05,896.5137761206979,901.4944082102573,878.6332947594333,889.2420654296875,438207,0.0,0.0
2024-01-08,889.5409017624609,890.4872340304653,864.0400894804767,870.315673828125,656367,0.0,0.0
2024-01-09,880.5757345750344,894.9199790052511,875.4955142719782,883.1158447265625,649347,0.0,0.0
2024-01-10,882.5679930858511,882.5679930858511,862.2968451036536,876.2426147460938,1456990,0.0,0.0
2024-01-11,872.6067314087625,887.4490391734495,868.1241625830324,876.5414428710938,972265,0.0,0.0
2024-01-12,876.5414357844637,876.7904673838798,863.4423493356858,865.5840454101562,591537,0.0,0.0
2024-01-15,865.6836221762212,912.8003879971337,860.3045761798658,906.9232788085938,2296912,0.0,0.0
2024-01-16,906.8734964911273,907.7201796094052,877.5873560887638,885.705810546875,986057,0.0,0.0
2024-01-17,885.0583205885183,886.7019534943598,864.2891091350558,868.8214721679688,714859,0.0,0.0
2024-01-18,868.8214652418229,874.8978120113017,844.2669249644388,864.189453125,1540500,0.0,0.0
2024-01-19,873.6028717451562,884.7594998268476,863.9404332958683,875.7445678710938,906348,0.0,0.0
2024-01-23,871.8596032661613,889.4412579742819,849.7455857450802,854.8258666992188,885743,0.0,0.0
2024-01-24,852.6841748841638,890.0389138539724,850.8413654144781,886.751708984375,862176,0.0,0.0
2024-01-25,887.4490167222549,909.9614486024517,880.127451346216,887.648193359375,1045465,0.0,0.0
2024-01-29,890.039001116587,903.3372651741568,883.8630048416494,896.3643798828125,685206,0.0,0.0
2024-01-30,896.5137495530107,906.1761876801613,890.1883713062119,892.2802124023438,600740,0.0,0.0
2024-01-31,894.5215012126898,919.1258352877516,893.5253748193572,906.6742553710938,1399292,0.0,0.0
2024-02-01,916.5358534955965,916.5358534955965,861.6493145419532,887.050537109375,1817051,0.0,0.0
2024-02-02,887.0505596014805,896.2647288056507,878.6332793579247,882.2691650390625,648664,0.0,0.0
2024-02-05,882.5679410452536,890.6365401145513,876.0433256498677,881.17333984375,766933,0.0,0.0
2024-02-06,884.5602974994831,894.1230872070108,877.4379689827807,881.3726806640625,1057975,0.0,0.0
2024-02-07,883.7135431665357,887.4988112543452,864.6874928114275,873.8518676757812,446360,0.0,0.0
2024-02-08,876.5912275300087,879.9780815922304,850.0444347858863,855.2243041992188,1203539,0.0,0.0
2024-02-09,851.7876846214954,858.3621555282994,826.486109818895,839.8341674804688,936078,0.0,0.0
2024-02-12,839.8341345105125,845.7113045269526,814.3831174233048,828.1795043945312,859065,0.0,0.0
2024-02-13,818.915466552555,835.4512008160959,815.379230089754,828.9763793945312,465748,0.0,0.0
2024-02-14,824.7926179005576,825.788744250679,779.7676947153227,794.1119384765625,1982268,0.0,0.0
2024-02-15,768.013487319452,847.2055395138702,768.013487319452,807.1114501953125,4974179,0.0,0.0
2024-02-16,818.8159238465983,887.5486473811667,818.8159238465983,868.8712768554688,8741874,0.0,0.0
2024-02-19,871.6105869232132,872.6067133082682,849.695806452001,859.2088012695312,964956,0.0,0.0
2024-02-20,867.7256997916426,901.4944097354809,863.8408432344524,890.6864624023438,3444381,0.0,0.0
2024-02-21,886.5524739028276,907.4711277814337,881.6714303449946,897.1113891601562,1778463,0.0,0.0
2024-02-22,896.5137417563743,912.4517638320432,894.6210773153969,908.91552734375,715441,0.0,0.0
2024-02-23,909.0151280414225,918.0300597409945,891.0350588021975,896.6133422851562,1406588,0.0,0.0
2024-02-26,903.4866666824576,938.3510915268744,903.4866666824576,924.0567016601562,3013526,0.0,0.0
2024-02-27,922.9111319529184,933.8685226183064,914.5436456707655,924.0567016601562,804309,0.0,0.0
2024-02-28,921.4170046140085,926.2980487417285,897.0616997377073,907.6704711914062,643011,0.0,0.0
2024-02-29,907.4711821159532,923.35941091099,894.9698075187785,921.5165405273438,1434787,0.0,0.0
2024-03-01,921.5165633025658,921.5165633025658,901.1956200093601,916.7351684570312,671589,0.0,0.0
2024-03-04,921.4666987718114,942.2857645036263,915.6891779080418,918.1296997070312,1085073,0.0,0.0
2024-03-05,917.3327743585029,917.9802200027603,901.8429610728641,913.6470947265625,660077,0.0,0.0
2024-03-06,912.4517845337814,931.9758376999465,899.6515845833402,922.8115234375,1577906,0.0,0.0
2024-03-07,923.4091728507958,960.5646754130936,923.4091728507958,951.5497436523438,1749348,0.0,0.0
2024-03-11,954.2891630171545,970.2271866166059,946.36994538143,951.599609375,1875353,0.0,0.0
2024-03-12,951.5995380857829,964.1009122503134,927.7422986378756,941.4888916015625,1079570,0.0,0.0
2024-03-13,937.9526058239056,944.4772824656936,882.0699383942003,894.9697875976562,1773669,0.0,0.0
2024-03-14,887.1003241390824,937.8031805484176,879.5795822265625,933.8684692382812,1584214,0.0,0.0
2024-03-15,934.3167925391143,940.1939019676935,908.5170938107237,922.9111328125,1144957,0.0,0.0
2024-03-18,921.0682969223107,940.940969895208,912.5015734324369,936.0101928710938,678559,0.0,0.0
2024-03-19,934.8646333216874,938.3510757475008,913.4479155631192,917.0838012695312,555021,0.0,0.0
2024-03-20,912.3023190758565,942.7838227253704,904.8313712400045,937.6537475585938,1104276,0.0,0.0
2024-03-21,938.1518541511495,950.8026718982269,934.8646491110381,943.0328979492188,721888,0.0,0.0
2024-03-22,940.0444518891012,950.7030160305189,937.0560728288192,947.316162109375,792841,0.0,0.0
2024-03-26,946.3200653711256,957.6260755168572,932.3742959867091,953.4921875,685483,0.0,0.0
2024-03-27,956.2813409609786,965.6449534107136,943.6305235614362,958.7218627929688,752945,0.0,0.0
2024-03-28,956.2813494917771,964.8480122614819,950.5536226588836,954.7373657226562,517943,0.0,0.0
2024-04-01,955.3350267348281,981.1845193797568,955.3350267348281,978.6444091796875,689298,0.0,0.0
2024-04-02,980.9355343062102,989.651640856278,971.2233012932775,983.1768188476562,804261,0.0,0.0
2024-04-03,980.2382171285558,992.1419403192411,975.1579965729204,990.000244140625,677231,0.0,0.0
2024-04-04,995.5785337123153,1006.0876549783331,986.2647154765948,1002.1031494140625,861431,0.0,0.0
2024-04-05,1006.0876855726068,1015.052823364838,995.429120704319,1013.4590454101562,442664,0.0,0.0
2024-04-08,1013.4590562364574,1053.652733448171,1013.4590562364574,1035.074951171875,870099,0.0,0.0
2024-04-09,1053.9017262864136,1055.8441241183732,1031.389294070865,1042.9443359375,951210,0.0,0.0
2024-04-10,1042.9443574171098,1053.9017479916927,1027.5542529308855,1039.3084716796875,1178981,0.0,0.0
2024-04-12,1039.308367677535,1065.8551583234935,1027.0062319920764,1047.7257080078125,980800,0.0,0.0
2024-04-15,1027.0064103283644,1055.8940785141283,1027.0064103283644,1039.9560546875,586620,0.0,0.0
2024-04-16,1039.9560196786556,1059.8286938295048,1036.0711021822017,1055.89404296875,425482,0.0,0.0
2024-04-18,1055.8939781070221,1059.8286287260783,1030.1938684914708,1037.7645263671875,1139829,0.0,0.0
2024-04-19,1028.0024780367992,1035.4235713177495,1016.1984041346487,1022.4241943359375,762705,0.0,0.0
2024-04-22,1026.0102168631681,1050.0168393654253,1022.4739194184891,1035.323974609375,260452,0.0,0.0
2024-04-23,1035.3239867457767,1040.2050306007677,1013.5586484426921,1030.4927978515625,1223564,0.0,0.0
2024-04-24,1031.9869448191325,1070.4373993317047,1029.2974521926615,1066.801513671875,657378,0.0,0.0
2024-04-25,1066.8513326488749,1091.754491674292,1066.8014776918415,1076.1153564453125,1101089,0.0,0.0
2024-04-26,1080.7970834768241,1084.5325572676427,1057.1390828016401,1075.1689453125,475440,0.0,0.0
2024-04-29,1085.7778646208178,1093.746876471246,1058.932304588677,1066.9510498046875,442802,0.0,0.0
2024-04-30,1070.8358341275448,1077.410243766418,1050.4152438023218,1053.104736328125,952244,0.0,0.0
2024-05-02,1056.2425245051813,1064.8091865815907,1049.5685267659612,1056.3919677734375,324107,0.0,0.0
2024-05-03,1058.0855213596917,1067.1503698022232,1041.2510807606438,1049.2200927734375,845271,0.0,0.0
